Normal Conditions Projected PHDI for 20211231 (3-Month Outlook)
The following projected PHDI is based on the most recent monthly precipitation and mean temperature data for NOAA/NCEI Climate Divisions extended by 3 months using NOAA/CPC Seasonal Forecasts of the 50th percentile of mean temperature and 50th percentile of precipitation.
Missing: -99.99
State,Climate Division,value
AL,01,5.01
AL,02,4.20
AL,03,4.62
AL,04,4.05
AL,05,3.51
AL,06,3.33
AL,07,3.78
AL,08,3.04
AZ,01,-2.90
AZ,02,-3.60
AZ,03,-2.90
AZ,04,-2.05
AZ,05,-1.88
AZ,06,-1.31
AZ,07,-1.72
AR,01,1.50
AR,02,1.46
AR,03,1.58
AR,04,2.57
AR,05,1.52
AR,06,2.06
AR,07,3.01
AR,08,2.92
AR,09,2.97
CA,01,-3.09
CA,02,-3.30
CA,03,-3.19
CA,04,-3.18
CA,05,-4.36
CA,06,-4.86
CA,07,-3.33
CO,01,-1.02
CO,02,-3.23
CO,03,0.00
CO,04,-1.42
CO,05,-1.70
CT,01,3.29
CT,02,3.07
CT,03,2.14
DE,01,1.35
DE,02,2.11
FL,01,2.69
FL,02,1.88
FL,03,0.00
FL,04,-1.95
FL,05,-1.64
FL,06,-1.35
FL,07,-2.28
GA,01,4.13
GA,02,3.37
GA,03,2.39
GA,04,4.00
GA,05,3.49
GA,06,2.47
GA,07,3.36
GA,08,3.09
GA,09,1.32
ID,01,-2.04
ID,02,-2.96
ID,03,-3.11
ID,04,-2.25
ID,05,-1.71
ID,06,-3.07
ID,07,-3.95
ID,08,-3.14
ID,09,-3.08
ID,10,-1.75
IL,01,0.00
IL,02,-0.74
IL,03,2.30
IL,04,2.23
IL,05,2.40
IL,06,3.27
IL,07,3.85
IL,08,1.64
IL,09,3.04
IN,01,1.31
IN,02,1.65
IN,03,2.99
IN,04,1.96
IN,05,2.88
IN,06,2.26
IN,07,3.03
IN,08,3.96
IN,09,3.75
IA,01,1.13
IA,02,1.58
IA,03,1.46
IA,04,0.93
IA,05,-1.04
IA,06,-0.90
IA,07,0.87
IA,08,1.28
IA,09,1.93
KS,01,-0.92
KS,02,1.04
KS,03,0.70
KS,04,0.72
KS,05,1.67
KS,06,1.72
KS,07,0.00
KS,08,1.19
KS,09,2.42
KY,01,2.69
KY,02,4.02
KY,03,4.33
KY,04,4.09
LA,01,2.09
LA,02,1.80
LA,03,2.44
LA,04,3.18
LA,05,2.84
LA,06,4.75
